variable,type,definition,level_or_unit,explanation
guano_bag_total,character,the total bags of guano collected at site,,"bags of guano that are collected x times per day/week/month per year, total at site"
guano_bag_size,character,the bag size of the guano,,"specify volume, weight, dimesions or other type of measurement"
guano_fresh_dry,categorical,whether guano is fresh or dry at the time of collection,fresh; dry,
guano_usage,character,the downstream use of guano,own use; storage on-site; selling for local use; selling for non-local use; processing; packaging to sell off-site,the purpose(s) for which guano is collected
guano_sold_location,character,"if guano is sold directly, where it is sold to",,"where guano is sold to, if guano is sold directly, such as to a farm where livestock are grazing on guano-fed crops"
bat_species_contribution,character,approximate bat species contribution of of guanon,,"bat species present that are contributing to guano on ground, and their relative contribution"
guano_notes,character,"additional notes in the ""Guano Information"" section of survey",,
Protective Practices and Equipment,,,,
ppe_gloves,numeric,percentage of harvesters using gloves as PPE,,
ppe_mask,numeric,percentage of harvesters using masks as PPE,,
ppe_makeshift_mask,numeric,percentage of harvesters using makeshift masks as PPE,,
ppe_goggles,numeric,percentage of harvesters using goggles as PPE,,
ppe_shoes,numeric,percentage of harvesters using shoes as PPE,,
ppe_clothing,numeric,percentage of harvesters using clothing specifically for harvesting as PPE,,
ppe_other,numeric,percentage of harvesters using other forms of PPE,,
ppe_other_type,character,"if harvesters are using a form of PPE not listed, what is it?",,
wash_shoes,numeric,percentage of harvesters that are washing shoes after harvesting guano,,
wash_feet,numeric,percentage of harvesters that are washing feet after harvesting guano,,
wash_hands,numeric,percentage of harvesters that are washing hands after harvesting guano,,
tools_shovels,numeric,percentage of harvesters using a shovel,,
tools_spades,numeric,percentage of harvesters using a spade,,
tools_brooms,numeric,percentage of harvesters using a broom,,
tools_hands_only,numeric,percentage of harvesters using hands only,,
tools_other,numeric,percentage of harvesters using other tools,,
tools_other_type,character,"if harvesters are using a tool not listed, what is it?",,
water_available,binary,availability of clean water for washing,yes; no,the availability of clean water to guano harvesters for washing after harvesting guano
harvesters_washing,numeric,number of harvesters washing,,the number of harvesters that are washing after harvesting guano
harvesters_washing_range,character,estimated range (percentage) of harvesters washing,,percentage range (estimated high to low) of harvesters that are washing after harvesting guano
soap_available,binary,availability of soap for washing,yes; no,the availability of soap to guano harvesters for washing after harvesting guano
harvesters_soaping,numeric,number of harvesters using soap,,the number of harvesters that are washing with soap after harvesting guano
harvesters_soaping_range,character,estimated range (percentage) of harvesters soaping,,percentage range (estimated high to low) of harvesters that are washing with soap after harvesting guano
footwear_religion,binary,if footwear is restricted due to religion,yes; no,
notes,character,"overall comments, general observaitons, photos",,additional section to add information not captured in the site characterization questionnaire
